rank,name,result,citizen_of,competition,year
88,Jaemin Chang (장재민),7.29,Republic of Korea,Cubing Korea 2019,2019
88,Will Callan,7.29,United States,Clash at Carlisle Fall 2019,2019
90,Kevin Costello III,7.30,United States,Quabbin Open 2016,2016
91,Leon Schmidtchen,7.31,Germany,Elsass Open 2018,2018
91,Tommy Cherry,7.31,United States,Cubing with Manatees 2020,2020
93,Alexander Bashutkin,7.32,Russia,Belgorod Open 2019,2019
93,Lir Ukaj,7.32,Kosovo,Kosovo Open 2019,2019
95,Richard Jay S. Apagar,7.33,Philippines,Bay Area Speedcubin&#39; 21 2019,2019
95,Will Newhoff,7.33,United States,Berkeley Summer 2019,2019
97,Caio Hideaki Sato,7.35,Brazil,V ETEC Jacareí Open 2019,2019
97,Nolan Wood,7.35,United States,Flag City Fall 2019,2019
99,Amos Nordman,7.36,Finland,Helsinki Open 2020,2020
99,Ray Bai,7.36,United States,TJHSST Fall 2019,2019
101,Alexander Lau,7.37,United Kingdom,Welcome Back to Guildford 2015,2015
102,Carlos Méndez García-Barroso,7.38,Spain,Chanquete Open 2018,2018
102,Collin Burns,7.38,United States,Slow N Steady Spring 2016,2016
102,Stanley Chapel,7.38,United States,Canadian Championship 2019,2019
105,Andrey Che,7.39,Russia,Ramenskoe Open 2019,2019
105,Arnav Arora,7.39,India,BU Cube Open 2020,2020
105,George Scholey,7.39,United Kingdom,Guildford Open 2020,2020
105,Jonathan Esparaz,7.39,Canada,Newmarket Open 2019,2019
109,Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),7.42,Thailand,Singapore Championship 2019,2019
109,Seung Hyun Kil (길승현),7.42,Republic of Korea,Cubing Korea 2019,2019
109,Tristan Chua Yong,7.42,Singapore,Selangor Cube Open 2019,2019
112,Martin Fronescu,7.43,Romania,Constanta Summer Open 2019,2019
113,Bautista Bonazzola,7.44,Argentina,Hernando Summer 2020,2020
113,Karol Zakrzewski,7.44,Poland,Dragon Cubing 2020,2020
113,Knut Skaug Haraldsen,7.44,Norway,Bergen Open 2020,2020
116,Mykyta Tytar (Микита Титарь),7.45,Ukraine,Ukrainian Nationals 2019,2019
116,Phạm Đức Phước,7.45,Vietnam,Ha Noi Cube Day 2020,2020
118,Jiazhou Li (李佳洲),7.47,China,China Championship 2019,2019
118,Joshua Broderick Phillips,7.47,United States,BA Four 2019,2019
118,Kaijun Lin (林恺俊),7.47,China,Selangor Cube Open 2019,2019
121,Krish Shah-Nathwani,7.48,United States,Michigan 2019,2019
121,Kyle Santucci,7.48,Canada,Chilliwack Cubes Fall 2019,2019
121,Ping-Yueh Huang (黃品越),7.48,Taiwan,Cross-strait Cubing 2019,2019
121,Przemysław Kaleta,7.48,Poland,MLS Warszawa 2020,2020
121,Vijay Kishore,7.48,India,C3 Cup Finale 2019,2019
126,AJ Kamal,7.49,United States,George School Open 2019,2019
126,Brody Lassner,7.49,United States,Copper Country Winter 2020,2020
126,Daniel Wallin,7.49,Sweden,Värnamo Cube Days 2019,2019
126,Jabari Nuruddin,7.49,United States,Hudson Valley 2016,2016
126,Jeff Park,7.49,United States,Western Championship 2019,2019
126,Maksym Yeli (Максим Єлі),7.49,Ukraine,Ukrainian Nationals 2018,2018
126,Zhouheng Sun (孙舟横),7.49,China,Another Bruin Cube Day 2019,2019
133,Simon Geertsema,7.50,New Zealand,Bay Area Speedcubin&#39; 23 2020,2020
133,Vincent Wong,7.50,Australia,Fortitude Sydney 2019,2019
