rank,name,result,citizen_of,competition,year 
2934,Davron Takhirov,10.57,Uzbekistan,Uzbekistan Nationals 2019,2019
2934,Denniel M. Santos,10.57,Philippines,Austin Fall 2019,2019
2934,Emiliano Aguirre Pimienta,10.57,Mexico,Metropolitano 2017,2017
2934,Erik Zimmermann,10.57,Germany,Frankfurt Cube Days 2020,2020
2934,Ethan Amiot,10.57,United States,Michigan Cubing Club Gamma 2019,2019
2934,Hongye Sun (孙虹烨),10.57,China,Beijing Open 2017,2017
2934,Jesús Julián De Niz Hernandez,10.57,Mexico,Guadalajara 2017,2017
2934,Jukka Geisler,10.57,Germany,Munich Open 2019,2019
2934,Kevin Tendean,10.57,Indonesia,Medan Open 2018,2018
2934,Lucas Garron,10.57,Germany,Bay Area Speedcubin&#39; 13 2019,2019
2934,Mantra Shukla,10.57,New Zealand,Auckland Summer Open 2020,2020
2934,Marc Tol,10.57,Netherlands,Dutch Open 2019,2019
2934,Nguyễn Hoàng Thiên Vũ,10.57,Vietnam,Ha Noi Summer 2020,2020
2934,Piotr Koska,10.57,Poland,GLS Cup II 2018,2018
2934,Ryan Harris,10.57,United States,Texas Out of School 2019,2019
2934,Ryan Kumulia,10.57,Australia,Odd Day in Sydney 2018,2018
2934,Satwik Sen,10.57,India,IISERK Spring Open 2019,2019
2934,Sho Nishino (西野翔),10.57,Japan,Hiroshima Open 2019,2019
2934,Wilfrid Py,10.57,France,Swisscubing Cup Final 2018,2018
2956,Abel Gomez Torres,10.58,Peru,A Romper Tu PB Lima 2020,2020
2956,Andrey Panov (Андрей Панов),10.58,Russia,CCC Qualification SPB 2020,2020
2956,Artem Kolmykov,10.58,Russia,CCC Qualification Saratov 2019,2019
2956,Bernardo Zakur Corrêa Santos,10.58,Brazil,SESC Santos 2017,2017
2956,Dániel Varga,10.58,Hungary,Budapest Open 2018,2018
2956,Duy Khuu,10.58,Australia,Canberra Autumn 2016,2016
2956,Jiayong Tian (田佳勇),10.58,China,Shanghai Open 2019,2019
2956,Johan Thuvesen,10.58,Sweden,Värnamo Cube Days 2019,2019
2956,Jose Daniel Cobo Torres,10.58,Colombia,Regreso a Clases Bogotá 2020,2020
2956,Justin Lin,10.58,United States,Berkeley Spring 2017,2017
2956,Oliver Brookes,10.58,Sweden,Swedish Championship 2017,2017
2956,Pavel Eroshkin (Павел Ерошкин),10.58,Russia,Tyumen Cube Fest 2020,2020
2956,Qiming Chen (陈启明),10.58,China,Xuzhou Spring 2019,2019
2956,Rachel Riggenbach,10.58,Peru, LatAm Tour - Santiago 2017,2017
2956,Rafka Athallah Putra Hasyim,10.58,Indonesia,Rubikku Champ 2017,2017
2956,Vincent Chan,10.58,Netherlands,Veenendaal Open 2020,2020
2956,Yoji Ogura (小倉洋二),10.58,Japan,Japan Championship 2019,2019
2956,Zhongyu Zheng (郑仲宇),10.58,China,Jieyang Open 2019,2019
2956,Zi-Xian Liao (廖子賢),10.58,Taiwan,Taiwan Championship 2019,2019
2975,Andrea Lo Sardo,10.59,Italy,Big CubingItaly 2016,2016
2975,Bálint Bodor,10.59,Hungary,Hungarian Open 2016,2016
2975,Chi-Uk Park,10.59,Republic of Korea,Cutory Autumn Open 2018,2018
2975,Daniel Waldo,10.59,Mexico,MCF 2016,2016
2975,Edric Sachio,10.59,Indonesia,Jakarta Mini Open 2020,2020
2975,Farid Brazales Flores,10.59,Ecuador,Ecuador Nationals 2019,2019
2975,Hayden Dempsey,10.59,United States,Heartland Champs 2018,2018
2975,Joe Yang,10.59,United States,Oregon State Leap Day 2020,2020
2975,Jonathan Lööv,10.59,Sweden,Nordic Championship 2018,2018
2975,Masato Kobayashi (小林正人),10.59,Japan,Cube Camp in Kanazawa 2016,2016
2975,Pedro Santos Guimarães,10.59,Brazil,Uberlândia Open 2018,2018
2975,Scott Weston,10.59,United States,Mudd Fall 2019,2019
2975,Yajian Xiao (肖雅健),10.59,China,China Championship 2019,2019
2975,Zhen-Chian Hong (洪蓁乾),10.59,Taiwan,Kaohsiung Autumn Open 2019,2019
2989,Alessandro Fava,10.60,Italy,Italian Championship 2017,2017
2989,Andrés Claros,10.60,Argentina,Classic San Lorenzo Open 2016,2016
2989,Ariel Burak,10.60,Argentina,Santa Lucía Open 2015,2015
2989,Brock Hamann,10.60,Australia,Australian Nationals 2018,2018
2989,Canxing Zhang (张灿星),10.60,China,Beijing Open 2017,2017
2989,Chengming Su (苏成明),10.60,China,Maoming Open 2019,2019
2989,Cyrez Ronquillo,10.60,Philippines,Baguio Speedcubing Weekend 2017,2017
2989,Denzel Tolentino Paran,10.60,Philippines,Antipolo City Cube Open II 2019,2019
2989,Deyan Sarac,10.60,Australia,Adelaide Summer 2019,2019
2989,Eddie Postigo,10.60,Sweden,Swedish Championship 2019,2019
2989,Filip Pasławski,10.60,Poland,Kaskada Open 2016,2016
2989,Hao Lin (林皓),10.60,China,China Championship 2018,2018
2989,Ian Krueger,10.60,United States,3rd Coast Cubing 2019,2019
2989,Inchul Kim,10.60,Republic of Korea,Korea Winter 2019,2019
2989,Jithin Prakash,10.60,India,Indian Nationals 2017,2017
2989,Joon Cha (차준혁),10.60,Republic of Korea,National Capital 2014,2014
2989,Kevin Lee,10.60,United States,West LA Winter 2020,2020
2989,Kishore Kumar,10.60,India,SSN Cube Open 2018,2018
2989,Lê Đại Vệ,10.60,Vietnam,Ha Noi Cube Day 2019,2019
2989,Marcin Kowalczyk,10.60,Poland,Polish Open 2015,2015
2989,Mohammad Hadi Yazdanian Ardestani (محمد هادی یزدانیان اردستانی),10.60,Iran,Kite Autumn 2019,2019
2989,Rhys Campbell,10.60,Australia,Adelaide Summer 2017,2017
2989,Siau Hong Da (蕭宏達),10.60,Malaysia,Chien Kuo Cubing Party 2019,2019
2989,Weijie Jian (简维杰),10.60,China,Shenzhen 10th Anniversary 2019,2019
2989,Will Richardson,10.60,United States,MLWGS Winter 2020,2020
2989,Yasa Zaheen,10.60,Bangladesh,Knights Cubing Open 2019,2019
2989,Yicheng Zhou (周奕丞),10.60,China,Maoming Open 2018,2018
2989,Zachary Forino,10.60,United States,ODU Big Blue Fall 2019,2019
3017,Brody Meschke,10.61,United States,Minnesota Cube Days 2020,2020
3017,Dániel Székely,10.61,Hungary,Budapest Open 2019,2019
3017,David Yoder,10.61,United States,Scuppernong Spectacular 2019,2019
3017,Dov Geoghegan,10.61,United States,BU Spring 2018,2018
3017,Frederico Canal Gomes,10.61,Brazil,KubeKids Vila Velha 2019,2019
3017,Kam Chor Kin (甘楚健),10.61,China,China Championship 2019,2019
3017,Muhammad Hakimi Bin Mohd Azhar,10.61,Malaysia,Malaysia 10th Cube Open 2019,2019
3017,Nate Strout,10.61,United States,Liberty Science Center Open 2019,2019
3017,Noah Blevins,10.61,United States,VES Spring 2019,2019
3017,Nolan Rickett,10.61,United States,Garrettsville G-Men Classic 2019,2019
3017,Victor Rafael Ortiz Villaseñor,10.61,Mexico,Tonallan 2018,2018
3028,Abel Pérez Gisbert,10.62,Spain,Fuengirola Cubea 2019,2019
3028,Carlos Andres Hidalgo,10.62,Bolivia,LatAm Tour - Cochabamba 2017,2017
3028,Eli Westrick,10.62,United States,Oregon State Alpha 2016,2016
3028,Fernando Matadamas Luévanos,10.62,Mexico,NxN Mx 2017,2017
3028,Filip Chodziutko,10.62,Poland,GLS Cup Final 2018,2018
3028,Franklin Ronquillo,10.62,Venezuela,Cubeando Ando Caracas 2018,2018
3028,Gabriel Bergue Campos Borges,10.62,Brazil,Brasília Winter 2019,2019
3028,Jorge Rafael Castañeda Sánchez,10.62,Mexico,Side Events Puebla 2019,2019
3028,Leonardo Ezequiel Cruz,10.62,Argentina,UTN Bisiesto 2020,2020
3028,Maverick Pearson,10.62,South Africa,Arnold Classic Africa 2019,2019
3028,Michael Kevin Astudillo Muñoz,10.62,Ecuador,Sumak Kawsay 2019,2019
3028,Trương Khánh Tùng,10.62,Vietnam,Ha Noi Championship 2019,2019
3028,Yen-Pin Xiao (蕭彥平),10.62,Taiwan,Dream One Cube Open 2019,2019
3028,Yinzhen Huang (黄尹真),10.62,China,Nanjing Autumn 2016,2016
3042,Adam Narbutas Jørgensen,10.63,Denmark,Danish Championship 2020,2020
3042,Aleh Simanovich (Олег Симанович),10.63,Belarus,Happy BSTU Cubing Days 2019,2019
3042,Alexandru Ioan Stan,10.63,Romania,Constanta Cube Days 2019,2019
3042,Ao Li (李澳),10.63,China,Shenzhen 10th Anniversary 2019,2019
3042,Chen Ching Cheung (陳政璋),10.63,Hong Kong,Shenzhen 10th Anniversary 2019,2019
3042,Daniel Ortega Pastor,10.63,Spain,Parla Open 2019,2019
3042,Gjorgji Cheshmedjievski,10.63,North Macedonia,Macedonian Nationals 2019,2019
3042,Keshav Raja,10.63,United States,IIITDM Cube Open 2018,2018
3042,Mackenzie Dy,10.63,Canada,Vancouver Select 2018,2018
3042,Matúš Buffa,10.63,Slovakia,Bratislava Open 2016,2016
3042,Min-Je Song (송민제),10.63,Republic of Korea,CWR Fall 2018,2018
3042,Nosirbek Bakhtiyorov,10.63,Uzbekistan,Uzbekistan Nationals 2019,2019
3042,Oleg Eminov,10.63,Russia,Kalmykia Open 2019,2019
3042,Pablo Andres Amavet,10.63,Argentina,Santa Fe Primavera 2019,2019
3042,Pawarisorn Boonyubol (ปวริศร บุญยุบล),10.63,Thailand,Princeton Fall 2016,2016
3042,Samuel Talacko,10.63,Czech Republic,UK Championship 2019,2019
3042,Vinzbrylle Navales,10.63,Australia,Fortitude Sydney 2019,2019
3042,Vladimir Vetkin,10.63,Russia,Chak-chak cubing in Kazan 2017,2017
3042,Xuanwei Liang (梁轩玮),10.63,China,Hangzhou Open 2019,2019
3042,Yuanming Liu (刘元铭),10.63,China,Coconut Island Open 2017,2017
3042,Zeynep Sevde Kara,10.63,Turkey,Ankara Fall 2019,2019
3063,Andrés Arturo Díaz Valdez,10.64,Ecuador,Imbabura Open 2017,2017
3063,Askar Almaz (Аскар Алмаз),10.64,Kyrgyzstan,Kyrgyzstan Open 2019,2019
3063,Brandon Harnish,10.64,United States,Las Vegas Spring 2018,2018
3063,Daniel Grabski,10.64,Austria,Wiler Würfelfest 2019,2019
3063,Hariharan Sachidanandam,10.64,India,Shaastra Cube Open 2019,2019
3063,Kamil Mieńko,10.64,Poland,ŚLS Jastrzębie Zdrój 2017,2017
3063,Lewis Byng,10.64,United Kingdom,High Wycombe Open 2018,2018
3063,Michael Jay Paraguas,10.64,Philippines,UCFO 2017,2017
3063,Sandeep Rajaram,10.64,India,C3 Cup Finale 2019,2019
3063,Seb van den Beemt,10.64,Netherlands,HNY Cubing Niijmegen 2019,2019
3063,Xinwei Zhou (周欣伟),10.64,China,Nanjing Autumn 2018,2018
3063,Yinian Gao (高易年),10.64,China,Asian Championship 2016,2016
3063,Yunqi Ouyang (欧阳韵奇),10.64,China,Xi&#39;an Open 2018,2018
3076,Aaditya Shreeniwas Pant,10.65,India,IISER Pune Cube Open 2019,2019
3076,Aditya Mishra,10.65,India,Raipur Cube Carnival 2019,2019
3076,Ali Chegini (علی چگینی),10.65,Iran,Iran Open 2017,2017
3076,Andrew Reich,10.65,United States,Razorback Fall 2018,2018
3076,Arnau Salmons Gonzalez,10.65,Spain,Arnold Open 2017,2017
3076,Ashwin Singh,10.65,India,Indian Nationals 2019,2019
3076,Bruno de Febrer,10.65,Spain,Arnold Open 2017,2017
3076,Chalongyot Intayot (ฉลองยศ อินทยศ),10.65,Thailand,Thailand Championship 2019,2019
3076,Eason Siew Ee Son (蕭奕晨),10.65,Malaysia,Malaysia 10th Cube Open 2019,2019
3076,Gary Song,10.65,United States,Nisei Week 2018,2018
3076,Jose Antonio Campero Morales,10.65,Bolivia,Unifranz El Alto 2019,2019
3076,Kejiang Lu (陆柯江),10.65,China,Chengdu Open 2019,2019
3076,Krzysztof Natusiewicz,10.65,Poland,II Project Warszawa 2019,2019
3076,Marco Rota,10.65,Italy,San Marino Nationals 2019,2019
3076,Matej Marković,10.65,Croatia,Osijek Open 2020,2020
3076,Priyanshu Kumar,10.65,India,MathSoc Open 2018,2018
3076,Semen Salmin,10.65,Russia,CCC Open Moscow 2019,2019
3076,Yuki Uchida (内田佑毅),10.65,Japan,Ayase 2019,2019
3094,Cairon Sumadchat,10.66,Philippines,Philippine Championship 2019,2019
3094,Cesar Eliuth Macias Juarez,10.66,Mexico,Metropolitano 2017,2017
3094,Daiki Matsumoto (松本大輝),10.66,Japan,World Championship 2011,2011
3094,Debanjan Poddar,10.66,India,City of Joy Open 2018,2018
3094,Dominik Hoić,10.66,Croatia,Ponikva Open 2019,2019
3094,Evan Liu,10.66,Canada,UBC Open 2020,2020
3094,Haoyu Wu (吴浩宇),10.66,China,Nanjing Spring 2018,2018
3094,Jacob Fleishauer,10.66,United States,German Nationals 2019,2019
3094,JP Bulman,10.66,United States,Northeast Championship 2018,2018
3094,Leo Guernion,10.66,France,Cube An Dro 2019,2019
3094,Soami Kapadia,10.66,India,CMI Autumn Open 2018,2018
3094,Tianyu Zhao (赵天愉),10.66,China,China Championship 2019,2019
3094,Yichen Yao (姚依辰),10.66,China,China Championship 2019,2019
3094,Zhaoyang Hong (洪兆阳),10.66,China,Jieyang Winter 2020,2020
3108,Alisher Kurmash (Алишер Курмаш),10.67,Kazakhstan,SCS1 Almaty Open Air 2019,2019
3108,Anderson Rojas,10.67,Peru,La Tienda Cubera Christmas 2019,2019
3108,Andrea Princic,10.67,Italy,Eretum Open 2017,2017
3108,Chuanle Wang (王传乐),10.67,China,Luoyang Open 2019,2019
3108,Chung-Han Hsu (許鍾瀚),10.67,Taiwan,Mingdao Carnival 2014,2014
3108,Dongyou Zhong (钟东佑),10.67,China,Shenzhen 10th Anniversary 2019,2019
3108,Henfry De Los Santos,10.67,Dominican Republic,Rep. Dominicana Nationals 2019,2019
3108,Hoàng Ngọc Thành,10.67,Vietnam,Ha Noi Cube Day 2020,2020
3108,Liang Liang (梁亮),10.67,China,Nanning Open 2019,2019
3108,Nguyễn Huy Hoàng,10.67,Vietnam,Ho Chi Minh City Open 2019,2019
3108,Piotr Pojda,10.67,Poland,SLS Gliwice 2017,2017
3108,Shemara Van Kuijck,10.67,Netherlands,GCC Fall 2014,2014
3108,Taewon Hwang (황태원),10.67,Republic of Korea,Thanks Cubing Day 2014,2014
3108,Thachtawan Thanintwanichkul (ธัชตะวัน ธนินท์วานิชกุล),10.67,Thailand,Thailand Championship 2018,2018
3108,Ting Sheng Bao Yang,10.67,Spain,La Vall d&#39;Uixó Open 2018,2018
3108,Yuzhao Feng (冯煜钊),10.67,China,Zhongshan NxN Speedcubing 2019,2019
3108,Zexin Wang (王泽鑫),10.67,China,Luoyang Open 2019,2019
3125,Aaron Ariff,10.68,Malaysia,Malaysia Cube Championship 2018,2018
3125,Adrian Lehmann,10.68,Germany,German Nationals 2016,2016
3125,Alexander Laiche,10.68,United States,Cajun Cube Clash 2018,2018
3125,Ángel Fernando Cruzado Toledo,10.68,Peru,CCS 2018,2018
3125,Chiou Hau Yie,10.68,Malaysia,Malaysia 10th Cube Open 2019,2019
3125,Choi Hyo-jin (최효진),10.68,Republic of Korea,Daegu Autumn Open 2019,2019
3125,Jacob Posner,10.68,United States,Bay Area Speedcubin&#39; 15 2019,2019
3125,Jansen Alvarez,10.68,Philippines,Philippine Championship 2019,2019
3125,Jhon Edinson Arias Parra,10.68,Colombia,Festival Cubero Blind 2019,2019
3125,John Edison Ubaldo,10.68,Philippines,Negros Speedcubing Open III 2018,2018
3125,John Emmanuel R. Poon,10.68,Philippines,Cube Ala-Eh IV 2019,2019
3125,Kaiyang Gao (高凯阳),10.68,China,Xinxiang Open 2019,2019
3125,Nguyễn Bảo Gia Huy,10.68,Vietnam,Ho Chi Minh City Open 2019,2019
3125,Uzeyir Elivasli,10.68,Azerbaijan,ACA League I 2019,2019
3125,Yunhao Cai (蔡云浩),10.68,China,Shanghai Winter 2018,2018
3140,Aleksey Mankovskiy (Алексей Маньковский),10.69,Belarus,New Year in PSU 2019,2019
3140,Athanasios Iasonas Mulonas (Αθανάσιος Ιάσονας Μυλωνας),10.69,Greece,Athens SNFestival Cubing 2019,2019
3140,Ilya Anishchenko,10.69,Belarus,Minsk Championship 2017,2017
3140,Jermaine Manthey,10.69,Australia,Northside Cube Days 2020,2020
3140,Kento Nakai (中井健斗),10.69,Japan,Japan Championship 2018,2018
3140,Lunhua Zheng (郑伦华),10.69,China,Chengdu Open 2019,2019
3140,Mateo Rodríguez,10.69,Uruguay,Montevideo Palace 2018,2018
3140,Mathieu Preston,10.69,Canada,Canadian Championship 2019,2019
3140,Nate Craig,10.69,United States,Spring Forward 2018,2018
3140,Niclas Mach,10.69,Germany,Hamburg International 2020,2020
3140,Owen Kwasniewski,10.69,Canada,Alberta 5th Anniversary 2020,2020
3140,Pavel Kuznetsov (Павел Кузнецов),10.69,Russia,YJ Fest Moscow 2019,2019
3140,Rodrigo Pueblas Núñez,10.69,Spain,Camarma Open 2017,2017
3140,Ryan Lee,10.69,United States,WCCT Cupertino 2018,2018
3140,Shakhzod Takhirov,10.69,Uzbekistan,Uzbekistan Nationals 2019,2019
3140,Warit Techakanont (วริทธิ์ เตชกานนท์),10.69,Thailand,Thailand Championship 2018,2018
3140,William Klauer,10.69,United States,Skewbadelphia Winter 2020,2020
3140,Zhiyuan Zhang (张智渊),10.69,China,Qingdao Open 2018,2018
3158,Adam Gradess,10.70,United States,TJHSST Fall 2019,2019
3158,Alan Benjamin Quispe Limachi,10.70,Bolivia,Sky Cube La Paz 2018,2018
3158,Antonin Valere,10.70,France,Tassin-la-Demi-Cube Open 2019,2019
3158,Benjamin Schnepf,10.70,Germany,Frankfurt Cube Days 2016,2016
3158,Ezequiel David Castro Pérez,10.70,Colombia,Villavicencio 2016,2016
3158,Franz Gerard Matunding,10.70,Philippines,Davao Year End Open 2017,2017
3158,Giorgio Zonta,10.70,Italy,Big CubingItaly 2016,2016
3158,Isaac Adair Nava Ozorio,10.70,Mexico,Mexican Championship 2018,2018
3158,Kei Kishimoto (岸本敬),10.70,Japan,Tokai Open 2019,2019
3158,Kein Takeda (武田慶胤),10.70,Japan,Tohoku Open 2017,2017
3158,Keyuan Huang (黄克元),10.70,China,Hangzhou Open 2019,2019
3158,Mateusz Szwugier,10.70,Poland,GLS Cup II 2019,2019
3158,Mohammed Rushaan,10.70,India,CMI Tessellate Cube Open 2020,2020
3158,Sam Schultz,10.70,United States,Binghamton Winter Cube Day 2018,2018
3158,Surya Arun,10.70,India,Babylon Winter 2020,2020
3158,Vasco Vasconcelos,10.70,Portugal,ABHC 2019,2019
3158,Weifeng Cheng (程维锋),10.70,China,Guangzhou Small Cubes 2014,2014
3158,Will Roberts,10.70,United Kingdom,UK Championship 2019,2019
3158,Zhaoshuai Zhong (仲昭帅),10.70,China,Heze Open 2019,2019
3177,Adam Marcellus Kelly,10.71,United States,Hvidovre Sommerhygge 2020,2020
3177,Arkadiusz Abramowski,10.71,Poland,LLS III v2 2020,2020
3177,Cameron Brown,10.71,United States,Antelope Fall 2014,2014
3177,Claudio Andre Gomez Villca,10.71,Bolivia,Oruro Winter 2019,2019
3177,Erick Aguilar Palomeque,10.71,Mexico,Quetzal Cubing 2019,2019
3177,Giovanni R. Sy,10.71,Philippines,Philippine Championship 2018,2018
3177,Jael Riggenbach,10.71,Peru,Cusco Speedcubing 2018,2018
3177,Jun Xu (徐俊),10.71,China,Asian Championship 2016,2016
3177,Måns Tangvald,10.71,Sweden,SSL Final Stockholm 2019,2019
3177,Ray Zhang (张灏睿),10.71,Australia,WCA World Championship 2019,2019
3177,Yilin Yang (杨逸麟),10.71,China,China Championship 2019,2019
3177,Yunhan Yao (姚云瀚),10.71,China,Beijing Winter 2019,2019
3189,Alan Wong,10.72,United States,Greensboro Summer 2019,2019
3189,Aldiyar Hasen (Алдияр Хасен),10.72,Kazakhstan,KSF Pavlodar City 2019,2019
3189,Alexander Yip,10.72,United Kingdom,UK Championship 2017,2017
3189,Asanali Akhtanov (Асанали Ахтанов),10.72,Kazakhstan,KSF Nur-Sultan City 2019,2019
3189,Bastian Cornejo Llano,10.72,Chile,CCP 2018,2018
3189,Bo Tang (唐搏),10.72,China,China Championship 2019,2019
3189,Danang Adianto,10.72,Indonesia,Grand City 2017,2017
3189,Ghanshyam Sahu,10.72,India,Independence Cube Open 2019,2019
3189,Jackson Taylor,10.72,United States,Carolina Season Starter 2018,2018
3189,Malakai Bergen,10.72,Canada,Canadian Open 2017,2017
3189,Miguel Angel Cruz Huerta,10.72,Mexico,TimerTon 2018,2018
3189,Mohamad Azraei,10.72,Malaysia,NUS 2011,2011
3189,Muhtasim Al Farabi,10.72,Bangladesh,IISERK Cube Open 2019,2019
3189,Nguyễn Trần Khánh Dương,10.72,Vietnam,Ho Chi Minh City Open 2019,2019
3189,Panos Gkotsis,10.72,Greece,Greece Autumn 2018,2018
3189,Tang-Kai Huang (黃堂愷),10.72,Taiwan,Zhuyuangang Open 2020,2020
3189,Tin Huang,10.72,Canada,Leap to Barrie 2020,2020
3189,William Boards,10.72,United States,Carroll Spring Open 2014,2014
3189,Willian Rafael Brito Assunção,10.72,Brazil,Orange Tech 2017,2017
3189,Zen Zuiker,10.72,United States,Chicago Area Twist Spring 2019,2019
3209,Carl Håkon Solheim,10.73,Norway,Lier Open 2018,2018
3209,Conor Sullivan,10.73,Australia,Melbourne Summer 2020,2020
3209,Daniel Laurenza,10.73,Canada,Oakville Limited Fall 2017,2017
3209,Guohua Chai (柴国华),10.73,China,China Championship 2019,2019
3209,James Lam,10.73,Australia,Enjoyable Sydney Gathering 2020,2020
3209,Javier Gonzalez-Napoleoni,10.73,United States,Indianapolis Fall 2018,2018
3209,Maciej Hebel,10.73,Poland,Gdańsk Open 2020,2020
3209,Manuel Bühler,10.73,Switzerland,Swiss Nats 2016,2016
3209,Nikita Loika,10.73,Belarus,Lion&#39;s Cup 2019,2019
3209,Patryk Szewczyk,10.73,Poland,SLS Jastrzebie 2013,2013
3209,Yun-Rui Chiang (江昀叡),10.73,Taiwan,Taipei Peace Open 2019,2019
3209,Zhenchuan Wang (王震川),10.73,China,Weihai Open 2018,2018
3221,Arttu Puttonen,10.74,Finland,Operation NxN Myrbacka 2020,2020
3221,Caiqing Tang (汤才庆),10.74,China,Hefei Open 2015,2015
3221,Dalton Nichols,10.74,United States,ERAU Speedcubing Fall 2019,2019
3221,Davis Joel Fonseca Rios,10.74,Panama,Cubing Chiriquí 2019,2019
3221,Deni Mintsaev (Дени Минцаев),10.74,Russia,WCA Euro 2018,2018
3221,Francisco Javier Lemes Sáez,10.74,Chile,Lomas 2015,2015
3221,Gordon Chan,10.74,Singapore,Singapore Championship 2018,2018
3221,Jakub Hibszer,10.74,Poland,Dragon Cubing 2020,2020
3221,Joshua Li,10.74,Australia,BrisbaneWinter 2017,2017
3221,Junfeng Chen (陈骏枫),10.74,China,Chongqing Open 2017,2017
3221,Jung In An (안정인),10.74,Republic of Korea,Korean Championship 2019,2019
3221,Kristiāns Pietkuns,10.74,Latvia,Telšiai Open 2019,2019
3221,Lee Stanton-Barnett,10.74,New Zealand,Wellington Winter 2018,2018
3221,Luke Robles,10.74,United States,Cubing with the Viking 2020,2020
3221,Mark Boyanowski,10.74,United States,WCA World Championship 2019,2019
3221,Raymond Zou,10.74,Canada,Fraser Valley Spring 2018,2018
3221,Samuel Adrián Pérez Loya,10.74,Mexico,Clásico 2015,2015
3221,Samuel Low,10.74,United States,Bay Area Speedcubin&#39; 21 2019,2019
3221,Soh Li Jin,10.74,Malaysia,Melbourne Cube Days 2017,2017
3221,Thomas Schmidt,10.74,United States,Santa Barbara Fall 2019,2019
3221,Vinny Vecchio,10.74,United States,Penn Cube Day Spring 2019,2019
3221,Yixi Li (李懿汐),10.74,China,Inner Mongolia Winter 2019,2019
3221,Zbigniew Delikowski,10.74,Poland,III Project Warszawa 2019,2019
3221,Zhenzhong Huang (黄振中),10.74,China,Guangzhou 3x3 Day 2013,2013
3245,Alexey Polyashov,10.75,Russia,MNW Winter 2013,2013
3245,Bartłomiej Zięba,10.75,Poland,SLS Rybnik 2015,2015
3245,Bohan Zhuang (庄博涵),10.75,China,Shenzhen 10th Anniversary 2019,2019
3245,Daiven Strom,10.75,United States,Mudd Winter 2020,2020
3245,Daniel Gomes da Silva Filho,10.75,Brazil,Mato Grande Open 2018,2018
3245,Himanshu Setya,10.75,United States,CubingUSA Nationals 2019,2019
3245,Ivan Karasev,10.75,Russia,Izhevsk Winter Cube 2019,2019
3245,Jack Manuel,10.75,Canada,Nanjing Autumn 2019,2019
3245,Jacob Miko Tan,10.75,Philippines,Philippine Championship 2019,2019
3245,Jinshun Li (李金顺),10.75,China,Suzhou Open 2018,2018
3245,Julien Gaboriaud,10.75,Canada,Trois-Rivieres 2019,2019
3245,Justin Zhang,10.75,South Africa,Big &#39;n Weird 2017,2017
3245,Mark Ostrom,10.75,United Kingdom,Guildford Open 2020,2020
3245,Qiyu Chen (陈其宇),10.75,China,Shanghai Open 2019,2019
3245,Rathin Sawant,10.75,India,Indian Nationals 2018,2018
3245,Velidi Venkata Jagan Mohana Murali Krishna,10.75,India,Independence Cube Open 2019,2019
3245,Viktor Stepanovich,10.75,Russia,Moscow Spring Open 2015,2015
3245,Zhenghao Song (宋政豪),10.75,China,Shijiazhuang Open 2019,2019
3263,AJ Blair,10.76,United States,Longmont Summer 2017,2017
3263,Artem Melikian (Артем Мелікян),10.76,Ukraine,Podolian Open 2014,2014
3263,Axel Brisse,10.76,France,Open de Lumes 2019,2019
3263,Daniel Estrada Chávez,10.76,Mexico,Quetzal Cubing 2019,2019
3263,Isaac Wappes,10.76,United States,Harvard Spring 2012,2012
3263,Jacob Livai,10.76,United States,Slow N Steady Summer 2019,2019
3263,Joanna Hołdakowska,10.76,Poland,PST CFL Częstochowa 2019,2019
3263,Joohyung Park,10.76,Republic of Korea,CWR Fall 2017,2017
3263,Juan F. Wulff,10.76,Venezuela,Cubing with the Viking 2020,2020
3263,Lord Walter Ebenyzr Bautista,10.76,Philippines,Bagong Sison Cup 1 2018,2018
3263,Mihir Kamra,10.76,Canada,National Capital Region 2018,2018
3263,Mykhailo Akhunov (Михайло Ахунов),10.76,Ukraine,Ukrainian Nationals 2019,2019
3263,Nicholas Lai,10.76,Canada,Oakville Limited Fall 2017,2017
3263,Nicolás Lasso Peña,10.76,Colombia,Cali Cube 2018,2018
3263,Pablo Grasböck,10.76,Austria,Vienna Cube Day 2019,2019
3263,Pascal Ordano,10.76,Argentina,Nacionales Argentinas 2019,2019
3263,Pim Kloet,10.76,Netherlands,Marathon Open 2017,2017
3263,Raiyan Abdulrub,10.76,Canada,Sherwood Park Summer 2019,2019
3263,Shengjie Wang (王圣杰),10.76,China,Zhenjiang Open 2017,2017
3263,Thulshan Kanesan,10.76,Canada,Pickering 2017,2017
3263,Timofey Bannov (Тимофей Баннов),10.76,Russia,Volga Cubing 2019,2019
3263,Tom Salmon,10.76,United Kingdom,Weston-super-Mare Open 2019,2019
3263,Ung Ren Jun,10.76,Malaysia,Malaysia Cube Championship 2019,2019
3263,Yuchen Qian (钱予晨),10.76,China,Suzhou Open 2019,2019
3263,Zheng Yang (杨征),10.76,China,Suzhou Open 2019,2019
3288,Adrian Dębski,10.77,Poland,Szczytno Open 2019,2019
3288,Anthony Camavilca,10.77,Peru,Aventura Cúbica VI 2018,2018
3288,Anton Smolyanyy,10.77,United States,Northern Virginia Summer 2019,2019
3288,Aria Zolfaghari,10.77,Sweden,Welcome Thay Cambridge 2015,2015
3288,Bogdan Tănăsescu,10.77,Romania,Mioveni Rubik&#39;s Open 2015,2015
3288,Can Gücüyener,10.77,Turkey,Ankara Bulut 2019,2019
3288,Daniel Penilla Jiménez,10.77,Mexico,Tula 2018,2018
